322.665,2.2356,9,06
#CS,1504,1501,36
#RCR,1504,1502,66
#BS,462513,1,2,346570.816,4070339.945,2.1145,7,0E
#BS28,1,2,346570.612,4070340.189,2.1118,7,02
#CS,1504,1499,36
#RCR,1506,1500,66
#BS,462553,1,2,346570.612,4#CS,1516,1506,32
#RCR,1519,1506,6E
#BS,462593,1,2,346570.612,4070340.189,2.1040#BS,462608,1,2,346570.612,4070340.189,2.1016,7,0C
#CS,1516,1504,30
#RCR,1520,1505,67
#BS,462634,1,2,346570.408,4070#BS,462649,1,2,346570.408,4070340.433,2.0967,7,0A
#CS,1502,1487,3F
#RCR,1503,1488,62
#BS,462673,1,2,34652689,1,2,346570.408,4070340.433,2.0916,7,00
#CS,1508,1482,30
#RCR,1510,1482,6A
#BS,462713,1,2,34#BS,462728,1,2,346570.204,4070340.677,2.0857,7,06
#CS,1515,1500,37
#RCR,1519,1501,69
#BS,462753,1,2,346570.204,40700.677,2.0824,7,0E
#BS,462769,1,2,346570.204,4070340.677,2.0794,7,03
#CS,1512,1499,31
#RCR,1511,1500,60
#BS,462834,1,2,346570.015,4070340.903,2.0705,7,02
#CS,1516,1511,34
#RCR,1519,1512,6B
#CS,1510,1503,31
#RCR,1509,1504,6D
#CS,1514,1508,3E
#RCR,1516,1509,6E
#BS,462928,1,2,346569.811,4070341.147,2.0579,7,0A
#CS,1509,1499,3B
#RCR,1508,1500,68
#BS,462953,1,2,346569.811,4070341.147,2.0556,7,0B
#BS,462969,1,2,346569.811,4070341.147,2.0534,7,06
#CS,1514,1512,35
#RCR,1512,1513,61
#BS,462993,1,2,346569.811,4070341.147,2.0509,7,0D
#CS,1514,1516,31
#RCR,1511,1517,66
#BS,463028,1,2,346569.622,4070341.409,2.0450,7,09
#CS,1504,1508,3F
#RCR,1502,1509,6B
#BS,463053,1,2,346569.622,4070341.409,2.0417,7,06
#BS,463069,1,2,346569.622,4070341.409,2.0387,7,01
#CS,1504,1501,36
#RCR,1503,1502,61
#BS,463093,1,2,346569.622,4070341.409,2.0361,7,0C
#CS,1517,1507,32
#RCR,1519,1508,60
#BS,463128,1,2,346569.448,4070341.653,2.0305,7,0C
#CS,1517,1507,32
#R
#BS,463153,1,2,346569.448,4070341.653,2.0272,7,01
#BS,463169,1,2,346569.448,4070341.653,2.0244,707,35
#RCR,1509,1508,61
#BS,463193,1,2,346569.448,4070341.653,2.0218,7,01
#BS,463209,1,2,346569.448,4070341.653,2.0#CS,1499,1501,33
#RCR,1500,1502,62
#BS,463234,1,2,346569.112,4070342.029,2.0164,7,05
#BS,463249,1,2,3465S,463287,0C
#CS,1508,1507,3C
#RCR,1512,1508,6B
#BS,463313,1,2,346569.112,4070342.029,2.0056,7,01
#BS,463328,1,2,346568.95070342.290,2.0031,7,04
#CS,1517,1507,32
#RCR,1520,1508,6A
#BS,463353,1,2,346568.953,4070342.290,2.0001,7#CS,1510,1495,3F
#RCR,1511,1496,6E
#BS,463393,1,2,346568.953,4070342.290,1.9954,7,04
#BS,463409,46568.953,4070342.290,1.9933,7,01
#CS,1504,1494,3B
#RCR,1502,1495,6F
#BS,463434,1,2,346568.780,4070342.553,1.9914,7#BS,463449,1,2,346568.780,4070342.553,1.9890,7,05
#CS,1504,1499,36
#RCR,1504,1500,64
#BS,463473,1,2,346#CS,1504,1499,36
#RCR,1505,1500,65
#BS,463513,1,2,346568.780,4070342.553,1.981#BS,463528,1,2,346568.780,4070342.553,1.9789,7,04
#CS,1510,1495,3F
#RCR,1511,1496,6E
#BS,463553,1,2,346568.606,4070
